symbol	kind	current_symbol
A1BG	approved	A1BG
A1BG-AS1	approved	A1BG-AS1
A1CF	approved	A1CF
A2M	approved	A2M
A2M-AS1	approved	A2M-AS1
A2ML1	approved	A2ML1
A2ML1-AS1	approved	A2ML1-AS1
A2ML1-AS2	approved	A2ML1-AS2
A3GALT2	approved	A3GALT2
A4GALT	approved	A4GALT
A4GNT	approved	A4GNT
AAAS	approved	AAAS
AACS	approved	AACS
AACSP1	approved	AACSP1
AADAC	approved	AADAC
AADACL2	approved	AADACL2
AADACL2-AS1	approved	AADACL2-AS1
AADACL3	approved	AADACL3
AADACL4	approved	AADACL4
AADACP1	approved	AADACP1
AADAT	approved	AADAT
AAGAB	approved	AAGAB
AAK1	approved	AAK1
AAMDC	approved	AAMDC
AAMP	approved	AAMP
AANAT	approved	AANAT
AAR2	approved	AAR2
AARD	approved	AARD
AARS1	approved	AARS1
AARS1P1	approved	AARS1P1
AARS2	approved	AARS2
AARSD1	approved	AARSD1
AARSD1P1	approved	AARSD1P1
AASDH	approved	AASDH
AASDH-DT	approved	AASDH-DT
AASDHPPT	approved	AASDHPPT
AASDHPPT-AS1	approved	AASDHPPT-AS1
AASS	approved	AASS
AATBC	approved	AATBC
AATF	approved	AATF
AAVS1	approved	AAVS1
ABAT	approved	ABAT
ABCA1	approved	ABCA1
ABCA10	approved	ABCA10
ABCA11P	approved	ABCA11P
ABCA12	approved	ABCA12
ABCA13	approved	ABCA13
ABCA15P	approved	ABCA15P
ABCA16P	approved	ABCA16P
ABCA17P	approved	ABCA17P
ABCA2	approved	ABCA2
ABCA3	approved	ABCA3
ABCA4	approved	ABCA4
ABCA5	approved	ABCA5
ABCA6	approved	ABCA6
ABCA7	approved	ABCA7
ABCA8	approved	ABCA8
ABCA9	approved	ABCA9
ABCA9-AS1	approved	ABCA9-AS1
ABCB1	approved	ABCB1
ABCB10	approved	ABCB10
ABCB10P1	approved	ABCB10P1
ABCB10P3	approved	ABCB10P3
ABCB10P4	approved	ABCB10P4
ABCB11	approved	ABCB11
ABCB4	approved	ABCB4
ABCB4P1	approved	ABCB4P1
ABCB5	approved	ABCB5
ABCB6	approved	ABCB6
ABCB7	approved	ABCB7
ABCB8	approved	ABCB8
ABCB9	approved	ABCB9
ABCC1	approved	ABCC1
ABCC10	approved	ABCC10
ABCC11	approved	ABCC11
ABCC12	approved	ABCC12
ABCC13	approved	ABCC13
ABCC2	approved	ABCC2
ABCC3	approved	ABCC3
ABCC4	approved	ABCC4
ABCC5	approved	ABCC5
ABCC5-AS1	approved	ABCC5-AS1
ABCC6	approved	ABCC6
ABCC6P1	approved	ABCC6P1
ABCC6P2	approved	ABCC6P2
ABCC8	approved	ABCC8
ABCC9	approved	ABCC9
ABCD1	approved	ABCD1
ABCD1P1	approved	ABCD1P1
ABCD1P2	approved	ABCD1P2
ABCD1P3	approved	ABCD1P3
ABCD1P4	approved	ABCD1P4
ABCD1P5	approved	ABCD1P5
ABCD2	approved	ABCD2
ABCD3	approved	ABCD3
ABCD4	approved	ABCD4
ABCE1	approved	ABCE1
ABCE1P1	approved	ABCE1P1
ABCE1P2	approved	ABCE1P2
ABCE1P3	approved	ABCE1P3
ABCF1	approved	ABCF1
ABCF1-DT	approved	ABCF1-DT
ABCF2	approved	ABCF2
ABCF2-H2BK1	approved	ABCF2-H2BK1
ABCF2P1	approved	ABCF2P1
ABCF2P2	approved	ABCF2P2
ABCF3	approved	ABCF3
ABCG1	approved	ABCG1
ABCG2	approved	ABCG2
ABCG4	approved	ABCG4
ABCG5	approved	ABCG5
ABCG8	approved	ABCG8
ABHD1	approved	ABHD1
ABHD10	approved	ABHD10
ABHD11	approved	ABHD11
ABHD12	approved	ABHD12
ABHD12B	approved	ABHD12B
ABHD13	approved	ABHD13
ABHD14A	approved	ABHD14A
ABHD14A-ACY1	approved	ABHD14A-ACY1
ABHD14B	approved	ABHD14B
ABHD15	approved	ABHD15
ABHD15-AS1	approved	ABHD15-AS1
ABHD16A	approved	ABHD16A
ABHD16A-AS1	approved	ABHD16A-AS1
ABHD16B	approved	ABHD16B
ABHD16B-AS1	approved	ABHD16B-AS1
ABHD17A	approved	ABHD17A
ABHD17AP1	approved	ABHD17AP1
ABHD17AP3	approved	ABHD17AP3
ABHD17AP4	approved	ABHD17AP4
ABHD17AP5	approved	ABHD17AP5
ABHD17AP6	approved	ABHD17AP6
ABHD17AP7	approved	ABHD17AP7
ABHD17AP8	approved	ABHD17AP8
ABHD17AP9	approved	ABHD17AP9
ABHD17B	approved	ABHD17B
ABHD17C	approved	ABHD17C
ABHD18	approved	ABHD18
ABHD2	approved	ABHD2
ABHD3	approved	ABHD3
ABHD4	approved	ABHD4
ABHD5	approved	ABHD5
ABHD6	approved	ABHD6
ABHD8	approved	ABHD8
ABI1	approved	ABI1
ABI1P1	approved	ABI1P1
ABI2	approved	ABI2
ABI3	approved	ABI3
ABI3BP	approved	ABI3BP
ABITRAM	approved	ABITRAM
ABITRAMP1	approved	ABITRAMP1
ABL1	approved	ABL1
ABL2	approved	ABL2
ABLIM1	approved	ABLIM1
ABLIM2	approved	ABLIM2
ABLIM2-DT	approved	ABLIM2-DT
ABLIM3	approved	ABLIM3
ABO	approved	ABO
ABR	approved	ABR
ABR-AS1	approved	ABR-AS1
ABRA	approved	ABRA
ABRACL	approved	ABRACL
ABRAXAS1	approved	ABRAXAS1
ABRAXAS1P1	approved	ABRAXAS1P1
ABRAXAS1P2	approved	ABRAXAS1P2
ABRAXAS2	approved	ABRAXAS2
ABT1	approved	ABT1
ABT1P1	approved	ABT1P1
ABTB1	approved	ABTB1
ABTB2	approved	ABTB2
ABTB3	approved	ABTB3
ACAA1	approved	ACAA1
ACAA2	approved	ACAA2
ACAA2P1	approved	ACAA2P1
ACACA	approved	ACACA
ACACB	approved	ACACB
ACAD10	approved	ACAD10
ACAD11	approved	ACAD11
ACAD8	approved	ACAD8
ACAD9	approved	ACAD9
ACAD9-DT	approved	ACAD9-DT
ACADL	approved	ACADL
ACADM	approved	ACADM
ACADS	approved	ACADS
ACADSB	approved	ACADSB
ACADVL	approved	ACADVL
ACAN	approved	ACAN
ACAP1	approved	ACAP1
ACAP2	approved	ACAP2
ACAP2-IT1	approved	ACAP2-IT1
ACAP3	approved	ACAP3
ACAT1	approved	ACAT1
ACAT2	approved	ACAT2
ACBD3	approved	ACBD3
ACBD3-AS1	approved	ACBD3-AS1
ACBD4	approved	ACBD4
ACBD5	approved	ACBD5
ACBD6	approved	ACBD6
ACBD7	approved	ACBD7
ACBD7P1	approved	ACBD7P1
ACCS	approved	ACCS
ACCSL	approved	ACCSL
ACCSLP1	approved	ACCSLP1
ACD	approved	ACD
ACE	approved	ACE
ACE2	approved	ACE2
ACE2-DT	approved	ACE2-DT
ACE3P	approved	ACE3P
ACER1	approved	ACER1
ACER2	approved	ACER2
ACER2P1	approved	ACER2P1
ACER3	approved	ACER3
ACER3-AS1	approved	ACER3-AS1
ACHE	approved	ACHE
ACIN1	approved	ACIN1
ACKR1	approved	ACKR1
ACKR2	approved	ACKR2
ACKR3	approved	ACKR3
ACKR4	approved	ACKR4
ACKR4P1	approved	ACKR4P1
ACKR5	approved	ACKR5
ACLY	approved	ACLY
ACMSD	approved	ACMSD
ACNATP	approved	ACNATP
ACO1	approved	ACO1
ACO2	approved	ACO2
ACO2P1	approved	ACO2P1
ACO2P2	approved	ACO2P2
ACOD1	approved	ACOD1
ACOT1	approved	ACOT1
ACOT11	approved	ACOT11
ACOT12	approved	ACOT12
ACOT12-DT	approved	ACOT12-DT
ACOT13	approved	ACOT13
ACOT2	approved	ACOT2
ACOT4	approved	ACOT4
ACOT4P1	approved	ACOT4P1
ACOT6	approved	ACOT6
ACOT7	approved	ACOT7
ACOT8	approved	ACOT8
ACOT9	approved	ACOT9
ACOX1	approved	ACOX1
ACOX2	approved	ACOX2
ACOX3	approved	ACOX3
ACOXL	approved	ACOXL
ACOXL-AS1	approved	ACOXL-AS1
ACP1	approved	ACP1
ACP2	approved	ACP2
ACP3	approved	ACP3
ACP4	approved	ACP4
ACP5	approved	ACP5
ACP6	approved	ACP6
ACP7	approved	ACP7
ACR	approved	ACR
ACRBP	approved	ACRBP
ACRP1	approved	ACRP1
ACRV1	approved	ACRV1
ACSBG1	approved	ACSBG1
ACSBG2	approved	ACSBG2
ACSBG3P	approved	ACSBG3P
ACSF2	approved	ACSF2
ACSF3	approved	ACSF3
ACSL1	approved	ACSL1
ACSL1-DT	approved	ACSL1-DT
ACSL3	approved	ACSL3
ACSL3-AS1	approved	ACSL3-AS1
ACSL3P1	approved	ACSL3P1
ACSL4	approved	ACSL4
ACSL5	approved	ACSL5
ACSL6	approved	ACSL6
ACSL6-AS1	approved	ACSL6-AS1
ACSL6-AS2	approved	ACSL6-AS2
ACSM1	approved	ACSM1
ACSM2A	approved	ACSM2A
ACSM2B	approved	ACSM2B
ACSM3	approved	ACSM3
ACSM4	approved	ACSM4
ACSM5	approved	ACSM5
ACSM5P1	approved	ACSM5P1
ACSM6	approved	ACSM6
ACSS1	approved	ACSS1
ACSS2	approved	ACSS2
ACSS3	approved	ACSS3
ACSS3-AS1	approved	ACSS3-AS1
ACTA1	approved	ACTA1
ACTA2	approved	ACTA2
ACTA2-AS1	approved	ACTA2-AS1
ACTB	approved	ACTB
ACTBL2	approved	ACTBL2
ACTBP1	approved	ACTBP1
ACTBP10	approved	ACTBP10
